Lines num,Delta Time,CPU usage (%),CPU memory,GPU usage (%),GPU memory
10000,0.0248993,27.5,16.00390625,0.19,0.1103515625
10000,0.00122941,27.5,16.00390625,0.19,0.1103515625
10000,0.0338462,27.5,16.00390625,0.19,0.1103515625
10000,0.000999412,27.5,16.00390625,0.19,0.1103515625
10000,0.000948348,27.5,16.00390625,0.19,0.1103515625
10000,0.000835874,27.5,16.00390625,0.19,0.1103515625
10000,0.00082173,27.5,16.00390625,0.19,0.1103515625
10000,0.000821626,27.5,16.00390625,0.19,0.1103515625
10000,0.000788168,27.5,16.00390625,0.19,0.1103515625
10000,0.000819598,27.5,16.00390625,0.19,0.1103515625
10000,0.00088913,27.5,16.00390625,0.19,0.1103515625
10000,0.000880919,27.5,16.00390625,0.19,0.1103515625
10000,0.00081801,27.5,16.00390625,0.19,0.1103515625
10000,0.000875674,27.5,16.00390625,0.19,0.1103515625
10000,0.000869181,27.5,16.00390625,0.19,0.1103515625
10000,0.000882124,27.5,16.00390625,0.19,0.1103515625
10000,0.000828488,27.5,16.00390625,0.19,0.1103515625
10000,0.000913949,27.5,16.00390625,0.19,0.1103515625
10000,0.000910857,27.5,16.00390625,0.19,0.1103515625
10000,0.00086315,27.5,16.00390625,0.19,0.1103515625
10000,0.000864826,27.5,16.00390625,0.19,0.1103515625
10000,0.000847444,27.5,16.00390625,0.19,0.1103515625
10000,0.00086967,27.5,16.00390625,0.19,0.1103515625
10000,0.000871764,27.5,16.00390625,0.19,0.1103515625
10000,0.000926961,27.5,16.00390625,0.19,0.1103515625
10000,0.000903761,27.5,16.00390625,0.19,0.1103515625
10000,0.000883434,27.5,16.00390625,0.19,0.1103515625
10000,0.00099586,27.5,16.00390625,0.19,0.1103515625
10000,0.00091054,27.5,16.00390625,0.19,0.1103515625
10000,0.000994856,27.5,16.00390625,0.19,0.1103515625
10000,0.000953276,27.5,16.00390625,0.19,0.1103515625
10000,0.00100171,27.5,16.00390625,0.19,0.1103515625
10000,0.000940162,27.5,16.00390625,0.19,0.1103515625
